weather,occupancy_count,layout_index,seat_list,active_zones,baseline,baseline_power_W,optimized_power_W,absolute_saving_W,outcome
Clear,14,1,0;1;3;4;6;9;10;11;13;15;16;19;20;22,3,Zonal PIR ceiling-only,105.6,33.0,72.6,GA lower
Clear,14,2,0;2;3;4;8;9;10;11;12;13;14;16;17;20,3,Zonal PIR ceiling-only,105.6,33.0,72.6,GA lower
Clear,14,3,0;2;5;6;9;10;11;13;14;16;17;20;22;23,3,Zonal PIR ceiling-only,105.6,25.5,80.1,GA lower
Clear,14,4,0;3;4;5;6;9;11;12;15;17;18;19;21;23,3,Zonal PIR ceiling-only,105.6,30.0,75.6,GA lower
Clear,14,5,3;4;6;9;10;12;13;16;17;18;19;20;22;23,3,Zonal PIR ceiling-only,92.4,25.5,66.9,GA lower
Clear,15,1,0;1;2;3;4;6;7;9;10;13;15;18;19;20;21,3,Zonal PIR ceiling-only,92.4,40.5,51.900000000000006,GA lower
Clear,15,2,0;1;3;4;6;7;12;13;14;15;18;20;21;22;23,3,Zonal PIR ceiling-only,79.19999999999999,28.5,50.69999999999999,GA lower
Clear,15,3,1;2;3;5;7;8;10;11;12;14;16;17;18;20;22,3,Zonal PIR ceiling-only,105.6,37.5,68.1,GA lower
Clear,15,4,1;4;5;6;8;9;10;14;15;16;19;20;21;22;23,3,Zonal PIR ceiling-only,92.4,21.0,71.4,GA lower
Clear,15,5,3;4;5;7;10;11;12;13;14;16;17;18;19;21;23,3,Zonal PIR ceiling-only,105.6,28.5,77.1,GA lower
Night,1,1,0,1,Zonal PIR ceiling-only,171.6,110.1,61.5,GA lower
Night,1,2,3,1,Zonal PIR ceiling-only,171.6,110.1,61.5,GA lower
Night,1,3,8,1,Zonal PIR ceiling-only,171.6,110.1,61.5,GA lower
Night,1,4,20,1,Zonal PIR ceiling-only,171.6,110.1,61.5,GA lower
Night,1,5,23,1,Zonal PIR ceiling-only,171.6,110.1,61.5,GA lower
Night,2,1,2;17,2,Zonal PIR ceiling-only,290.4,192.3,98.09999999999997,GA lower
Night,2,2,3;23,2,Zonal PIR ceiling-only,343.2,196.8,146.39999999999998,GA lower
Night,2,3,4;7,1,Zonal PIR ceiling-only,171.6,114.6,57.0,GA lower
Night,2,4,13;18,2,Zonal PIR ceiling-only,290.4,141.0,149.39999999999998,GA lower
Night,2,5,21;23,1,Zonal PIR ceiling-only,171.6,113.1,58.5,GA lower
Night,3,1,0;1;2,1,Zonal PIR ceiling-only,171.6,116.1,55.5,GA lower
Night,3,2,0;17;19,2,Zonal PIR ceiling-only,343.2,201.3,141.89999999999998,GA lower
Night,3,3,6;7;16,2,Zonal PIR ceiling-only,343.2,198.3,144.89999999999998,GA lower
Night,3,4,6;20;22,2,Zonal PIR ceiling-only,316.79999999999995,198.3,118.49999999999994,GA lower
Night,3,5,13;17;22,2,Zonal PIR ceiling-only,290.4,145.5,144.89999999999998,GA lower
Night,4,1,0;5;13;22,3,Zonal PIR ceiling-only,462.0,217.5,244.5,GA lower
Night,4,2,2;3;10;12,2,Zonal PIR ceiling-only,343.2,192.6,150.6,GA lower
Night,4,3,3;8;11;19,3,Zonal PIR ceiling-only,514.8,230.7,284.09999999999997,GA lower
Night,4,4,4;6;8;10,2,Zonal PIR ceiling-only,343.2,163.2,180.0,GA lower
Night,4,5,7;8;14;18,3,Zonal PIR ceiling-only,488.4,219.0,269.4,GA lower
Night,5,1,1;2;7;9;21,3,Zonal PIR ceiling-only,462.0,235.2,226.8,GA lower
Night,5,2,1;3;14;17;23,3,Zonal PIR ceiling-only,488.4,249.9,238.49999999999997,GA lower
Night,5,3,2;3;7;8;12,2,Zonal PIR ceiling-only,343.2,200.1,143.1,GA lower
Night,5,4,2;9;12;17;20,3,Zonal PIR ceiling-only,488.4,236.7,251.7,GA lower
Night,5,5,6;11;18;19;22,3,Zonal PIR ceiling-only,488.4,223.5,264.9,GA lower
Night,6,1,1;2;7;8;10;12,2,Zonal PIR ceiling-only,343.2,203.1,140.1,GA lower
Night,6,2,1;7;10;17;20;22,3,Zonal PIR ceiling-only,488.4,241.2,247.2,GA lower
Night,6,3,2;5;6;8;20;21,3,Zonal PIR ceiling-only,488.4,241.2,247.2,GA lower
Night,6,4,5;7;8;12;14;17,3,Zonal PIR ceiling-only,488.4,229.5,258.9,GA lower
Night,6,5,5;11;14;19;20;21,3,Zonal PIR ceiling-only,488.4,229.5,258.9,GA lower
Night,7,1,1;2;3;4;15;16;23,3,Zonal PIR ceiling-only,514.8,250.2,264.59999999999997,GA lower
Night,7,2,2;5;12;13;19;20;21,3,Zonal PIR ceiling-only,488.4,234.0,254.39999999999998,GA lower
Night,7,3,4;7;8;17;19;22;23,3,Zonal PIR ceiling-only,514.8,237.0,277.79999999999995,GA lower
Night,7,4,6;10;12;14;15;18;23,3,Zonal PIR ceiling-only,488.4,234.0,254.39999999999998,GA lower
Night,7,5,7;11;12;13;18;22;23,3,Zonal PIR ceiling-only,514.8,235.5,279.29999999999995,GA lower
Night,8,1,0;3;5;8;14;16;19;23,3,Zonal PIR ceiling-only,514.8,256.2,258.59999999999997,GA lower
Night,8,2,0;3;8;12;14;16;17;19,3,Zonal PIR ceiling-only,514.8,243.0,271.79999999999995,GA lower
Night,8,3,0;5;10;15;16;17;19;20,3,Zonal PIR ceiling-only,514.8,254.7,260.09999999999997,GA lower
Night,8,4,3;8;9;10;13;17;20;21,3,Zonal PIR ceiling-only,514.8,251.7,263.09999999999997,GA lower
Night,8,5,4;6;9;11;16;19;20;23,3,Zonal PIR ceiling-only,514.8,243.0,271.79999999999995,GA lower
Night,9,1,0;1;2;7;10;18;20;21;22,3,Zonal PIR ceiling-only,488.4,256.2,232.2,GA lower
Night,9,2,0;2;3;7;10;16;17;21;22,3,Zonal PIR ceiling-only,488.4,257.7,230.7,GA lower
Night,9,3,1;2;3;7;9;11;15;17;20,3,Zonal PIR ceiling-only,514.8,259.2,255.59999999999997,GA lower
Night,9,4,2;4;5;8;13;15;17;21;22,3,Zonal PIR ceiling-only,488.4,243.0,245.39999999999998,GA lower
Night,9,5,6;9;11;12;14;16;17;22;23,3,Zonal PIR ceiling-only,488.4,257.7,230.7,GA lower
Night,10,1,0;1;2;3;7;14;16;17;21;23,3,Zonal PIR ceiling-only,488.4,263.7,224.7,GA lower
Night,10,2,1;3;10;12;15;19;20;21;22;23,3,Zonal PIR ceiling-only,514.8,278.4,236.39999999999998,GA lower
Night,10,3,3;4;5;6;8;13;14;17;20;23,3,Zonal PIR ceiling-only,514.8,276.9,237.89999999999998,GA lower
Night,10,4,3;6;7;11;13;15;16;18;20;22,3,Zonal PIR ceiling-only,514.8,278.4,236.39999999999998,GA lower
Night,10,5,4;6;7;8;12;15;16;17;20;22,3,Zonal PIR ceiling-only,514.8,253.5,261.29999999999995,GA lower
Night,11,1,0;1;4;5;6;12;13;15;19;20;22,3,Zonal PIR ceiling-only,514.8,269.7,245.09999999999997,GA lower
Night,11,2,0;1;5;8;10;15;16;17;19;21;23,3,Zonal PIR ceiling-only,514.8,269.7,245.09999999999997,GA lower
Night,11,3,0;4;6;9;13;14;15;16;17;20;22,3,Zonal PIR ceiling-only,514.8,268.2,246.59999999999997,GA lower
Night,11,4,1;2;3;8;10;13;16;17;18;19;22,3,Zonal PIR ceiling-only,514.8,279.9,234.89999999999998,GA lower
Night,11,5,2;3;5;7;9;12;14;18;19;21;23,3,Zonal PIR ceiling-only,514.8,281.4,233.39999999999998,GA lower
Night,12,1,0;1;2;3;5;6;8;14;17;18;19;20,3,Zonal PIR ceiling-only,514.8,285.9,228.89999999999998,GA lower
Night,12,2,0;5;7;8;9;10;11;13;14;16;17;21,3,Zonal PIR ceiling-only,514.8,272.7,242.09999999999997,GA lower
Night,12,3,1;4;7;8;9;10;12;14;16;19;22;23,3,Zonal PIR ceiling-only,514.8,275.7,239.09999999999997,GA lower
Night,12,4,1;6;8;10;15;16;17;19;20;21;22;23,3,Zonal PIR ceiling-only,488.4,274.2,214.2,GA lower
Night,12,5,3;4;8;9;16;17;18;19;20;21;22;23,3,Zonal PIR ceiling-only,514.8,288.9,225.89999999999998,GA lower
Night,13,1,0;1;2;4;5;11;13;16;17;18;21;22;23,3,Zonal PIR ceiling-only,514.8,277.2,237.59999999999997,GA lower
Night,13,2,0;1;4;5;6;7;9;11;14;15;18;22;23,3,Zonal PIR ceiling-only,514.8,278.7,236.09999999999997,GA lower
Night,13,3,0;1;4;5;8;10;12;13;14;18;21;22;23,3,Zonal PIR ceiling-only,514.8,277.2,237.59999999999997,GA lower
Night,13,4,0;3;5;6;7;8;10;13;18;19;21;22;23,3,Zonal PIR ceiling-only,514.8,291.9,222.89999999999998,GA lower
Night,13,5,1;2;3;4;6;7;11;12;13;14;17;19;22,3,Zonal PIR ceiling-only,514.8,291.9,222.89999999999998,GA lower
Night,14,1,0;1;3;4;6;9;10;11;13;15;16;19;20;22,3,Zonal PIR ceiling-only,514.8,299.4,215.39999999999998,GA lower
Night,14,2,0;2;3;4;8;9;10;11;12;13;14;16;17;20,3,Zonal PIR ceiling-only,514.8,299.4,215.39999999999998,GA lower
Night,14,3,0;2;5;6;9;10;11;13;14;16;17;20;22;23,3,Zonal PIR ceiling-only,514.8,281.7,233.09999999999997,GA lower
Night,14,4,0;3;4;5;6;9;11;12;15;17;18;19;21;23,3,Zonal PIR ceiling-only,514.8,299.4,215.39999999999998,GA lower
Night,14,5,3;4;6;9;10;12;13;16;17;18;19;20;22;23,3,Zonal PIR ceiling-only,514.8,297.9,216.89999999999998,GA lower
Night,15,1,0;1;2;3;4;6;7;9;10;13;15;18;19;20;21,3,Zonal PIR ceiling-only,514.8,302.4,212.39999999999998,GA lower
Night,15,2,0;1;3;4;6;7;12;13;14;15;18;20;21;22;23,3,Zonal PIR ceiling-only,514.8,303.9,210.89999999999998,GA lower
Night,15,3,1;2;3;5;7;8;10;11;12;14;16;17;18;20;22,3,Zonal PIR ceiling-only,514.8,302.4,212.39999999999998,GA lower
Night,15,4,1;4;5;6;8;9;10;14;15;16;19;20;21;22;23,3,Zonal PIR ceiling-only,514.8,289.2,225.59999999999997,GA lower
